City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Beian,NO,63.6559,9.5683,37.4,75,75,18.41,broken clouds
269,Yanji,CN,42.9075,129.5078,46.02,72,100,1.74,light rain
270,Torbay,CA,47.6666,-52.7314,46.0,81,75,8.05,broken clouds
271,Moissala,TD,8.3404,17.7663,87.01,15,0,5.41,clear sky
272,Kedrovyy,RU,56.1667,91.8167,33.8,51,0,20.13,clear sky
273,Grand Gaube,MU,-20.0064,57.6608,78.01,85,6,4.0,clear sky
274,Namibe,AO,-15.1961,12.1522,78.78,75,100,14.63,overcast clouds
275,Waddan,LY,29.1614,16.139,70.32,23,0,7.43,clear sky
276,Mount Gambier,AU,-37.8333,140.7667,60.8,51,0,10.36,clear sky
277,Nkongsamba,CM,4.9547,9.9404,72.55,73,75,1.97,broken clouds
278,Namatanai,PG,-3.6667,152.4333,80.51,81,100,6.17,overcast clouds
279,Kishi,NG,9.0833,3.85,85.69,11,10,3.69,clear sky
280,Noshiro,JP,40.2039,140.0242,47.23,74,100,6.8,overcast clouds
281,Dingle,PH,10.9995,122.6711,75.15,91,100,7.25,overcast clouds
282,Touros,BR,-5.1989,-35.4608,87.8,58,40,13.8,scattered clouds
283,Banepa,NP,27.6298,85.5214,57.2,58,20,3.44,few clouds
284,Manali,IN,13.1667,80.2667,84.2,79,20,6.91,mist
285,Tura,IN,25.5198,90.2201,71.28,34,0,4.32,clear sky
286,Kabansk,RU,52.0486,106.6528,21.2,68,2,5.88,clear sky
287,Santona,ES,43.4439,-3.4576,57.2,88,75,9.22,broken clouds
288,Victoria,HK,22.2855,114.1577,77.0,83,0,2.62,clear sky
289,Matagami,CA,49.7502,-77.6328,26.6,31,1,12.66,clear sky
290,Mount Isa,AU,-20.7333,139.5,71.6,43,0,8.05,clear sky
291,Buala,SB,-8.145,159.5921,80.01,82,78,4.38,broken clouds
292,Esna,EG,25.2934,32.554,68.0,34,0,6.91,clear sky
293,Ponta Do Sol,PT,32.6667,-17.1,64.4,68,40,10.36,scattered clouds
294,Villazon,BO,-22.0866,-65.5942,62.74,25,81,8.28,broken clouds
295,Thompson,CA,55.7435,-97.8558,48.2,40,20,12.66,few clouds
296,Suntar,RU,62.1444,117.6319,-16.82,99,30,2.13,scattered clouds
297,Baza,ES,37.4907,-2.7726,59.0,49,13,7.96,few clouds
298,Tucumcari,US,35.1717,-103.725,66.2,20,1,17.27,clear sky
299,General Roca,AR,-39.0333,-67.5833,78.8,50,0,3.44,clear sky
300,Dzhebariki-Khaya,RU,62.2167,135.8,6.17,95,100,5.12,light snow
301,Klaksvik,FO,62.2266,-6.589,42.8,87,90,11.5,overcast clouds
302,Whitianga,NZ,-36.8333,175.7,55.99,95,55,13.22,broken clouds
303,Juybar,IR,36.6412,52.9124,53.6,94,29,6.91,mist
304,Stokmarknes,NO,68.5646,14.9108,35.01,92,100,5.99,light snow
305,Birao,CF,10.2849,22.7882,84.6,14,24,6.49,few clouds
306,Scottsbluff,US,41.8666,-103.6672,73.4,10,1,17.27,clear sky
307,Phibun Mangsahan,TH,15.2447,105.2291,78.8,83,20,4.61,few clouds
308,Noyabrsk,RU,63.1994,75.4507,27.14,96,100,8.08,overcast clouds
309,Yaguajay,CU,22.3272,-79.2378,78.73,66,58,16.6,light rain
310,Ozieri,IT,40.586,9.0012,64.4,52,0,2.3,clear sky
311,Denpasar,ID,-8.65,115.2167,80.6,89,20,1.14,few clouds
312,Gamba,GA,-2.65,10.0,79.03,83,98,5.37,overcast clouds
313,Codrington,AU,-38.2667,141.9667,65.82,41,0,12.44,clear sky
314,Severo-Kurilsk,RU,50.6789,156.125,27.43,81,43,15.75,scattered clouds
315,Kaitangata,NZ,-46.2817,169.8464,48.0,81,57,3.0,broken clouds
316,Kamaishi,JP,39.2667,141.8833,46.58,91,100,8.43,overcast clouds
317,Palana,RU,59.1167,159.9667,10.67,94,100,9.4,light snow
318,Lorengau,PG,-2.0226,147.2712,81.18,78,100,6.08,overcast clouds
319,Madang,PG,-5.2246,145.7966,75.87,91,99,6.15,overcast clouds
320,Gornoye Loo,RU,43.7129,39.6049,46.4,93,90,6.71,overcast clouds
321,Morant Bay,JM,17.8815,-76.4093,84.2,70,20,17.27,few clouds
322,Godda,IN,24.8333,87.2167,76.46,7,0,1.9,clear sky
323,Saint Anthony,US,45.0205,-93.218,57.99,22,1,20.71,clear sky
324,Vuktyl,RU,63.8567,57.3094,26.96,95,97,5.7,overcast clouds
325,Batagay-Alyta,RU,67.8006,130.4114,-3.35,98,100,5.99,light snow
326,Lubumbashi,CD,-11.6609,27.4794,62.85,93,8,2.51,clear sky
327,Vila Velha,BR,-20.3297,-40.2925,80.6,69,20,10.36,few clouds
328,Tucuman,AR,-26.8241,-65.2226,78.8,61,75,5.75,broken clouds
329,Strzelce Krajenskie,PL,52.8773,15.5298,45.0,71,100,4.0,overcast clouds
330,Mahina,PF,-17.5065,-149.489,84.2,70,20,5.75,light rain
331,Comodoro Rivadavia,AR,-45.8667,-67.5,66.2,68,40,4.61,scattered clouds
332,Idanre,NG,7.1127,5.1159,81.25,67,81,6.8,broken clouds
333,Milledgeville,US,33.0801,-83.2321,57.0,33,1,8.05,clear sky
334,Butembo,CD,0.15,29.2833,57.88,88,100,3.24,overcast clouds
335,Hami,CN,42.8,93.45,49.46,15,0,8.84,clear sky
336,Faanui,PF,-16.4833,-151.75,81.43,70,0,2.24,clear sky
337,Scarborough,GB,54.2797,-0.4044,43.0,87,0,5.01,clear sky
338,Magan,ES,39.9683,-3.931,61.0,88,75,5.75,broken clouds
339,Abu Kamal,SY,34.4506,40.9171,56.79,52,96,20.42,overcast clouds
340,Port Elizabeth,ZA,-33.918,25.5701,62.6,77,0,14.97,clear sky
341,Crib Point,AU,-38.35,145.2,66.99,69,0,3.0,clear sky
342,Charagua,BO,-19.8,-63.2167,69.8,73,90,0.98,overcast clouds
343,Broken Hill,AU,-31.95,141.4333,64.4,48,0,8.23,clear sky
344,Medicine Hat,CA,50.0501,-110.6683,55.99,30,20,16.11,few clouds
345,Nanortalik,GL,60.1432,-45.2371,36.1,98,100,2.01,overcast clouds
346,Jabinyanah,TN,35.035,10.9081,82.4,12,20,8.05,few clouds
347,West Wendover,US,40.7391,-114.0733,55.4,21,1,4.61,clear sky
348,Lakes Entrance,AU,-37.8811,147.981,61.36,68,0,4.56,clear sky
349,Dubbo,AU,-32.25,148.6167,59.0,88,0,12.66,clear sky
